Asset ID,Character,Class,Weapon,State,Clip,Root Motion,Looping,Gameplay Events,Audio Events,VFX Events,Implementation Status,Retarget Status,Testing Status,Notes
ANM_ENEMY_BRUTE,Enemy,Brute family,Natural/heavy,Heavy attack,Role windup/contact/recovery,Gameplay-authoritative,No,Area telegraph/Impact/Recovery,enemy-windup/enemy-heavy,Area warning/heavy impact,Implemented,N/A,Automated + rendered,Slow turn cap
ANM_ENEMY_RANGED,Enemy,Ranged family,Bow/projectile,Ranged attack,Role draw/release/recovery,Gameplay-authoritative,No,Line telegraph/Projectile,projectile-windup/enemy-attack,Line warning/projectile,Implemented,N/A,Automated + rendered,Committed tracking capped
ANM_ENEMY_HEALER,Enemy,Healer family,Ritual,Casting,Role ritual procedure,Gameplay-authoritative,No,Telegraph/Resolve/Recovery,enemy-windup/enemy-attack,Ritual field,Implemented,N/A,Automated,Interrupt readability
ANM_ENEMY_COMMANDER,Enemy,Commander family,Command weapon,Command attack,Role command procedure,Gameplay-authoritative,No,Telegraph/Resolve/Recovery,enemy-windup/enemy-attack,Command ring,Implemented,N/A,Automated,Group readability
ANM_ENEMY_ASSASSIN,Enemy,Assassin family,Blade,Lunge,Role coil/lunge/recovery,Gameplay-authoritative,No,Cone telegraph/Impact/Recovery,enemy-windup/enemy-attack,Lunge trail,Implemented,N/A,Automated,Fast capped turn
ANM_ENEMY_BURROWER,Enemy,Burrower family,Natural,Burrow surge,Role burrow procedure,Gameplay-authoritative,No,Area telegraph/Impact/Recovery,enemy-windup/enemy-attack,Ground disturbance,Implemented,N/A,Automated,Navigation remains authoritative
ANM_ENEMY_SUMMONER,Enemy,Summoner family,Ritual,Summon,Role summon procedure,Gameplay-authoritative,No,Telegraph/Spawn/Recovery,enemy-windup/enemy-attack,Summon field,Implemented,N/A,Automated,Spawn remains gameplay authoritative
ANM_ENEMY_DISRUPTOR,Enemy,Disruptor family,Focus,Null cast,Role null procedure,Gameplay-authoritative,No,Telegraph/Resolve/Recovery,enemy-windup/enemy-attack,Null field,Implemented,N/A,Automated,Interrupt readability
ANM_BOSS_FRAMEWORK,Boss,Ten bosses,Boss-defined,Entrance/Attack/Phase/Stagger/Death,Dedicated procedural state,Gameplay-authoritative,No,Hold/PhaseActive/Stagger/Death,boss-windup/boss-attack/boss-stagger,Phase rings/lighting/death,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_ENEMY_REACTION_DIRECTIONAL,Enemy,All,N/A,Hit reaction,History-based directional recoil,No,No,Reaction,Impact profile,Impact burst,Implemented,N/A,Automated,Poise and boss scale respected
ANM_ENEMY_DEATH_PROFILE,Enemy,All,N/A,Death,Authored-style corpse profile,Controlled impulse,No,Death/Loot,Impact/death,Corpse/scorch/freeze,Implemented,N/A,Automated,No physics ragdoll solver
ANM_NPC_SANCTUARY_ROUTINE,NPC,Profession set,Work prop,Idle/Work/Walk/Converse,Procedural scheduled actor,No,Yes,Routine state,Ambient foley,Subtle prop motion,Implemented,N/A,Rendered,18 sanctuary actors
ANM_NPC_RECLAIMED_ROUTINE,NPC,Profession set,Work prop,Reclaimed stronghold routine,Procedural scheduled actor,No,Yes,World-state gate,Ambient foley,Subtle prop motion,Implemented,N/A,Automated,Five actors per liberated region
ANM_DESTRUCTIBLE_URN,Environment,N/A,N/A,Break,Profile-driven shatter,Controlled debris,No,Damage/Break/Loot,destruction-hit/destruction,Debris/dust,Implemented,N/A,Automated + rendered,Cleanup budgeted
ANM_DESTRUCTIBLE_BARRICADE,Environment,N/A,N/A,Break,Profile-driven splinter,Controlled debris,No,Damage/Break/Loot,destruction-hit/destruction,Debris/dust,Implemented,N/A,Automated + rendered,Cleanup budgeted
ANM_DESTRUCTIBLE_RITUAL_VESSEL,Environment,N/A,N/A,Break,Profile-driven rupture,Controlled debris,No,Damage/Break/Loot,destruction-hit/destruction,Arcane debris,Implemented,N/A,Automated + rendered,Cleanup budgeted
